,date,code,name,weight
147,2020-04-30,601668,中国建筑,0.83
148,2020-04-30,601669,中国电建,0.21
149,2020-04-30,601688,华泰证券,0.61
150,2020-04-30,601698,中国卫通,0.05
151,2020-04-30,601727,上海电气,0.13
152,2020-04-30,601766,中国中车,0.46
153,2020-04-30,601788,光大证券,0.17
154,2020-04-30,601800,中国交建,0.14
155,2020-04-30,601808,中海油服,0.06
156,2020-04-30,601818,光大银行,0.45
157,2020-04-30,601828,美凯龙,0.03
158,2020-04-30,601838,成都银行,0.11
159,2020-04-30,601857,中国石油,0.33
160,2020-04-30,601877,正泰电器,0.2
161,2020-04-30,601878,浙商证券,0.1
162,2020-04-30,601881,中国银河,0.1
163,2020-04-30,601888,中国国旅,0.68
164,2020-04-30,601898,中煤能源,0.05
165,2020-04-30,601899,紫金矿业,0.41
166,2020-04-30,601901,方正证券,0.22
167,2020-04-30,601919,中远海控,0.11
168,2020-04-30,601933,永辉超市,0.29
169,2020-04-30,601939,建设银行,0.33
170,2020-04-30,601985,中国核电,0.2
171,2020-04-30,601988,中国银行,0.56
172,2020-04-30,601989,中国重工,0.29
173,2020-04-30,601992,金隅集团,0.08
174,2020-04-30,601997,贵阳银行,0.15
175,2020-04-30,601998,中信银行,0.12
176,2020-04-30,603019,中科曙光,0.23
177,2020-04-30,603156,养元饮品,0.09
178,2020-04-30,603160,汇顶科技,0.24
179,2020-04-30,603259,药明康德,0.57
180,2020-04-30,603260,合盛硅业,0.03
181,2020-04-30,603288,海天味业,0.75
182,2020-04-30,603501,韦尔股份,0.25
183,2020-04-30,603799,华友钴业,0.18
184,2020-04-30,603833,欧派家居,0.1
185,2020-04-30,603899,晨光文具,0.14
186,2020-04-30,603986,兆易创新,0.41
187,2020-04-30,603993,洛阳钼业,0.19
188,2020-04-30,000001,平安银行,1.02
189,2020-04-30,000002,万科Ａ,1.18
190,2020-04-30,000063,中兴通讯,0.72
191,2020-04-30,000069,华侨城Ａ,0.2
192,2020-04-30,000100,TCL科技,0.48
193,2020-04-30,000157,中联重科,0.25
194,2020-04-30,000166,申万宏源,0.3
195,2020-04-30,000333,美的集团,1.98
196,2020-04-30,000338,潍柴动力,0.49
197,2020-04-30,000413,东旭光电,0.09
198,2020-04-30,000415,渤海租赁,0.04
199,2020-04-30,000423,东阿阿胶,0.11
200,2020-04-30,000425,徐工机械,0.2
201,2020-04-30,000538,云南白药,0.35
202,2020-04-30,000568,泸州老窖,0.44
203,2020-04-30,000596,古井贡酒,0.12
204,2020-04-30,000625,长安汽车,0.14
205,2020-04-30,000627,天茂集团,0.08
206,2020-04-30,000629,攀钢钒钛,0.07
207,2020-04-30,000630,铜陵有色,0.09
208,2020-04-30,000651,格力电器,2.0
209,2020-04-30,000656,金科股份,0.13
210,2020-04-30,000661,长春高新,0.63
211,2020-04-30,000671,阳光城,0.09
212,2020-04-30,000703,恒逸石化,0.11
213,2020-04-30,000709,河钢股份,0.07
214,2020-04-30,000723,美锦能源,0.06
215,2020-04-30,000725,京东方A,0.68
216,2020-04-30,000728,国元证券,0.13
217,2020-04-30,000768,中航飞机,0.19
218,2020-04-30,000776,广发证券,0.31
219,2020-04-30,000783,长江证券,0.19
220,2020-04-30,000786,北新建材,0.16
221,2020-04-30,000858,五 粮 液,1.99
222,2020-04-30,000876,新 希 望,0.53
223,2020-04-30,000895,双汇发展,0.31
224,2020-04-30,000898,鞍钢股份,0.05
225,2020-04-30,000938,紫光股份,0.26
226,2020-04-30,000961,中南建设,0.11
227,2020-04-30,000963,华东医药,0.13
228,2020-04-30,001979,招商蛇口,0.41
229,2020-04-30,002001,新和成,0.27
230,2020-04-30,002007,华兰生物,0.32
231,2020-04-30,002008,大族激光,0.2
232,2020-04-30,002010,传化智联,0.06
233,2020-04-30,002024,苏宁易购,0.24
234,2020-04-30,002027,分众传媒,0.38
235,2020-04-30,002032,苏泊尔,0.08
236,2020-04-30,002044,美年健康,0.24
237,2020-04-30,002050,三花智控,0.23
238,2020-04-30,002081,金螳螂,0.1
239,2020-04-30,002120,韵达股份,0.15
240,2020-04-30,002142,宁波银行,0.56
241,2020-04-30,002146,荣盛发展,0.11
242,2020-04-30,002153,石基信息,0.07
243,2020-04-30,002179,中航光电,0.15
244,2020-04-30,002202,金风科技,0.21
245,2020-04-30,002230,科大讯飞,0.39
246,2020-04-30,002236,大华股份,0.23
247,2020-04-30,002241,歌尔股份,0.33
248,2020-04-30,002252,上海莱士,0.13
